Place,Date_start,Date_end,Type_of_Exchange,Currency_From,Amount_From,Currency_To,Amount_To,Notes,Source
Florence,1345.02,,Accounting,"Florence, florin of",1,"Florence, soldo of",65.33,4,289
Florence,1345.09,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.08,4,289
Florence,1345.10,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.17,4,289
Florence,1345.11,,Accounting,"Florence, florin of",1,"Florence, soldo of",63.33,4,289
Florence,1345.12,,Accounting,"Florence, florin of",1,"Florence, soldo of",63.58,4,289
Florence,1346,,Commercial,"Florence, florin of",1,"Florence, soldo of",62,4,111
Florence,1346.01,,Accounting,"Florence, florin of",1,"Florence, soldo of",63.58,4,289
Florence,1346.02,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.92,4,289
Florence,1346.03,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.08,4,289
Florence,1346.04,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.75,4,289
Florence,1346.05,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.67,4,289
Florence,1346.06,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.25,4,289
Florence,1346.12,,Commercial,"Florence, florin of",1,"Florence, soldo of",62,4,427
Florence,1347,,Manual,"Florence, florin of",1,"Florence, soldo of",62.17,4,111
Florence,1347,,Commercial,"Florence, florin of",1,"Florence, soldo of",60,4,31
Florence,1347.01,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",62.33,4,289
Florence,1347.02,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62,4,289
Florence,1347.02,,Loan,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1347.03,,Loan,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1347.03,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",68.67,4,289
Florence,1347.04,,Accounting for rents received involving a loan element,"Florence, florin of",1,"Florence, soldo of",62,4,289
Florence,1347.05,,Accounting,"Florence, florin of",1,"Florence, soldo of",61.25,4,289
Florence,1347.05,,"Wage, loan and rent accounting","Florence, florin of",1,"Florence, soldo of",62,4,289
Florence,1347.06,,Accounting,"Florence, florin of",1,"Florence, soldo of",60.25,4,289
Florence,1347.07.02,,Commercial,"Florence, florin of",1,"Florence, soldo of",61,4,427
Florence,1347.08,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",61.25,4,289
Florence,1347.08,,Loan,"Florence, florin of",1,"Florence, soldo of",60.42,4,289
Florence,1347.08,,Accounting,"Florence, florin of",1,"Florence, soldo of",61.67,4,289
Florence,1347.09,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",62,4,289
Florence,1347.09,,Accounting,"Florence, florin of",1,"Florence, soldo of",61.42,4,289
Florence,1347.10,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1347.10,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.42,4,289
Florence,1347.10,,Loan,"Florence, florin of",1,"Florence, soldo of",62.42,4,289
Florence,1347.11,,Accounting,"Florence, florin of",1,"Florence, soldo of",61.75,4,289
Florence,1347.11,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1347.12,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.08,4,289
Florence,1347.12,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.75,4,289
Florence,1348,,Commercial,"Florence, florin of",1,"Florence, soldo of",63,4,111
Florence,1348.01,,Accounting for rents received,"Florence, florin of",1,"Florence, soldo of",62.92,4,289
Florence,1348.01,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1348.01,,Loan,"Florence, florin of",1,"Florence, soldo of",63,4,289
Florence,1348.01,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.67,4,289
Florence,1348.02,,Accounting,"Florence, florin of",1,"Florence, soldo of",62.67,4,289
Florence,1348.04,,Loan,"Florence, florin of",1,"Florence, soldo of",62.67,4,289
Florence,1348.05,,Accounting,"Florence, florin of",1,"Florence, soldo of",63.08,4,289
Florence,1348.05,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",61.33,4,289
Florence,1348.05,,Loan,"Florence, florin of",1,"Florence, soldo of",63,4,289
Florence,1348.06,,Accounting,"Florence, florin of",1,"Florence, soldo of",63.17,4,289
Florence,1348.07,,Loan,"Florence, florin of",1,"Florence, soldo of",60.17,4,289
Florence,1348.07,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",60.17,4,289
Florence,1348.08,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",61.58,4,289
Florence,1348.08,,Loan,"Florence, florin of",1,"Florence, soldo of",61.67,4,289
Florence,1348.09,,Loan,"Florence, florin of",1,"Florence, soldo of",62.5,4,289
Florence,1348.09,,Wage accounting,"Florence, florin of",1,"Florence, soldo of",61.75,4,289
Florence,1348.10.13,,Commercial,"Florence, florin of",1,"Florence, soldo of",63,4,427
Florence,1348.11,,Accounting,"Florence, florin of",1,"Florence, soldo of",63.75,4,289
Florence,1348.12,,Accounting,"Florence, florin of",1,"Florence, soldo of",63.92,4,289
Florence,1349.08,,Accounting,"Florence, florin of",1,"Florence, soldo of",63.83,4,289
